"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"BulletinInnerFilerTut","Drop passport in confiscation drawer.","Släpp pass i konfiskeringslåda."
"BulletinInnerFilerTut","If arresting, confiscate before detaining.","Vid arrest, konfiskera<br>innan kvarhållning."
"BulletinInnerCriminals","Ministry of Justice","Justitieministeriet"
"BulletinInnerCriminals","WANTED CRIMINALS","EFTERSÖK. BROTTSLINGAR"
"BulletinInnerNews","NEWS","NYHETER"
"BulletinPagesNote","CHECK ALL<br>PAGES","KONTROLLERA<br>ALLA SIDOR"
"CitationInner","M.O.A. CITATION","TTM-CITATION"
"DiplomaticAuthInner","Diplomatic<br>Authorization","Diplomatisk<br>behörighet"
"DiplomaticAuthInner","This document authorizes named agent as a diplomatic entity of a Council of Nations member state.","Dokumentet ger nämnd agent rätten att agera som diplomatisk enhet av medlemsstat av Nationernas Råd."
"DiplomaticAuthInner","AGENT","AGENT"
"DiplomaticAuthInner","PASSPORT","PASS"
"DiplomaticAuthInner","Unconditional access to all named Council of Nations member states must be granted upon presentation.","Ovillkorligt tillträde till alla nämnda medlemsstater av Nationernas Råd måste beviljas mot uppvisande."
"DiplomaticAuthInner","This document has no expiry.","Dokumentet har inget förfallodatum."
"DiplomaticAuthInner","COUNCIL OF NATIONS - SEVEN MEMBER FORUM","NATIONERNAS RÅD - SJU MEDLEMSFORUM"
"EntryPermitInner","ARSTOTZKA","ARSTOTZKA"
"EntryPermitInner","Entry Permit","Inträdestillstånd"
"EntryPermitInner","Conditional entry to the sovereign nation of Arstotzka is hereby granted to","Villkorligt inträde till den suveräna nationen Arstotzka ges härmed till"
"EntryPermitInner","bearing passport number","med passnummer"
"EntryPermitInner","Purpose","Syfte"
"EntryPermitInner","Duration","Varaktighet"
"EntryPermitInner","Enter by","Inträde innan"
"EntryPermitInner","Ministry of Admission","Tillträdesministeriet"
"EntryTicketInner","Arstotzka","Arstotzka"
"EntryTicketInner","ENTRY TICKET","ENTRÉBILJETT"
"EntryTicketInner","VALID ON","GILTIG"
"EzicNoteInnerOpen","READ QUICKLY","LÄS SKYNDSAMT"
"EzicNoteInnerOpen","RETURN TO MESSENGER","GE TILLBAKA TILL BUDBÄRARE"
"FamilyPhotoInner","HANG ON WALL","HÄNG PÅ VÄGGEN"
"FingerprintsInner","GIVE THIS PAPER TO APPLICANT","GE DETTA PAPPER TILL SÖKANDE"
"ForgeryFlyerInnerFront","NEED FORGED<br>OBRISTAN DOCS?","BEHÖVER DU FALSKA<br>OBRISTANDOKUMENT?"
"ForgeryFlyerInnerFront","""It looks so real!""","""Det ser så verkligt ut!"""
"ForgeryFlyerInnerFront","""Approved for entry!""","""Godkänd för inträde!"""
"ForgeryFlyerInnerFront","Fair rates!","Rättvisa priser!"
"ForgeryFlyerInnerFront","No questions asked!","Inga frågor ställda!"
"ForgeryFlyerInnerFront","Fast turnaround!","Snabb handläggning!"
"ForgeryFlyerInnerFront","CONDITIONS ON BACK","VILLKOR PÅ BAKSIDAN"
"ForgeryFlyerInnerBack","PRICING (EACH)","PRISSÄTTNING (STYCK)"
"ForgeryFlyerInnerBack","Passport *","Pass *"
"ForgeryFlyerInnerBack","Entry Ticket","Entrébiljett"
"ForgeryFlyerInnerBack","*<br>","<br>"
"ForgeryFlyerInnerBack","Client must provide existing Obristan passport to be modified with new info","* Kunden måste tillhandahålla befintligt Obristanpass som ska modifieras med ny information"
"ForgeryFlyerInnerBack","Service at border Arstotzka/Obristan","Service vid gränsen Arstotzka/Obristan"
"ForgeryFlyerInnerBack","Ask for Timofei Wee","Fråga efter Timofei Wee"
"GymFlyerInner","Underweight?Weak?Tired?","Underviktig? Vek? Trött?"
"GymFlyerInner","JOIN BEST GYM!","BÄSTA GYM!
GÅ MED!"
"GymFlyerInner","GET BIG TOWN","GET BIG TOWN"
"GymFlyerInner","East Grestin","Östra Grestin"
"HintMissingInner","THIS ENTRANT HAS NO DOCUMENTS","DENNA SÖKANDE HAR INGA DOKUMENT"
"HintMissingInner","To proceed, use INSPECT mode to interrogate.","För att fortsätta, använd INSPEKTIONS-läget för att förhöra"
"HintMissingInner","Review page 2 of today's bulletin for full instructions.","Granska sidan 2 av dagens bulletin för fullständiga instuktioner."
"IdCardInner","ARSTOTZKA IDENTITY CARD","ARSTOTZKA IDENTITETSKORT"
"IdCardInner","DOB","FÖD"
"IdCardInner","HT.","LGD"
"IdCardInner","WT.","VKT"
"IdentityRecordInner","M.O.A. IDENTITY RECORD","TTM-IDENTITETSUTDRAG"
"IdentityRecordInner","NAME:","NAMN:"
"IdentityRecordInner","ALIAS:","ALIAS:"
"IdentityRecordInner","Applicant's fingerprints and claimed name/alias must match this record.","Sökandes fingeravtryck och påstått namn/alias måste matcha utdrag."
"IdSupplementInner","IDENTITY<br>SUPPLEMENT","ID-<br>TILLÄGG"
"IdSupplementInner","HT","LGD"
"IdSupplementInner","WT","VKT"
"IdSupplementInner","DESCRIPTION","BESKRIVNING"
"IdSupplementInner","THUMB","TUMME"
"IdSupplementInner","Keep on person","Ha alltid med"
"IdSupplementInner","EXP.","UTG."
"LocketInnerOpen","To Sergiu from your Elisa","Till Sergiu från din Elisa"
"LocketInnerOpen","I Love You Always","Alltid i mitt hjärta"
"LoveSongInner1","YOU","DU"
"LoveSongInner1","YOU ARE HOT LIKE FIRE","DU ÄR HET SOM<br>EN FLAMMA"
"LoveSongInner2","you","du"
"LoveSongInner2","OBJECT OF DESIRE","DU ÄR MITT BEGÄR"
"LoveSongInner3","YOU<br>(AGAIN)","DU<br>(IGEN)"
"LoveSongInner3","WRAP MY HEART IN WIRE","LINDA MItT HJÄRTA I BAND"
"LoveSongInner4","ApPROVED","GODKÄND"
"LoveSongInner4","APPROVE MY VISA","GODKÄNN MITT VISUM"
"tweak-passport-field-padding-left","2px","2px"
"PassportInnerAntegria","ENTRY VISA","INTRÄDESVISUM"
"PassportInnerAntegria","DOB.","FÖD."
"PassportInnerAntegria","SEX","KÖN"
"PassportInnerAntegria","ISS.","UTF."
"PassportInnerAntegria","EXP.","UTG."
"PassportInnerAntegria","ANTEGRIA","ANTEGRIA"
"tweak-passport-arstotzka-nation","16px","18px"
"PassportInnerArstotzka","ENTRY VISA","INTRÄDESVISUM"
"PassportInnerArstotzka","DOB.","FÖD."
"PassportInnerArstotzka","SEX","KÖN"
"PassportInnerArstotzka","ISS.","UTF."
"PassportInnerArstotzka","EXP.","UTG."
"PassportInnerArstotzka","ARSTOTZKA","ARSTOTZKA"
"PassportInnerImpor","ENTRY VISA","INTRÄDESVISUM"
"PassportInnerImpor","DOB.","FÖD."
"PassportInnerImpor","SEX","KÖN"
"PassportInnerImpor","ISS.","UTF."
"PassportInnerImpor","EXP.","UTG."
"PassportInnerImpor","IMPOR","IMPOR"
"PassportInnerKolechia","ENTRY VISA","INTRÄDESVISUM"
"PassportInnerKolechia","DOB.","FÖD."
"PassportInnerKolechia","SEX","KÖN"
"PassportInnerKolechia","ISS.","UTF."
"PassportInnerKolechia","EXP.","UTG."
"PassportInnerKolechia","KOLECHIA","KOLECHIA"
"PassportInnerObristan","ENTRY VISA","INTRÄDESVISUM"
"PassportInnerObristan","DOB.","FÖD."
"PassportInnerObristan","SEX","KÖN"
"PassportInnerObristan","ISS.","UTF."
"PassportInnerObristan","EXP.","UTG."
"PassportInnerObristan","OBRISTAN","OBRISTAN"
"PassportInnerRepublia","ENTRY VISA","INTRÄDESVISUM"
"PassportInnerRepublia","DOB.","FÖD."
"PassportInnerRepublia","SEX","KÖN"
"PassportInnerRepublia","ISS.","UTF."
"PassportInnerRepublia","EXP.","UTG."
"PassportInnerRepublia","REPUBLIA","REPUBLIA"
"PassportInnerUnitedFed","ENTRY VISA","INTRÄDESVISUM"
"PassportInnerUnitedFed","DOB.","FÖD."
"PassportInnerUnitedFed","SEX","KÖN"
"PassportInnerUnitedFed","ISS.","UTF."
"PassportInnerUnitedFed","EXP.","UTG."
"PassportInnerUnitedFed","UNITED FEDERATION","FÖRENTA FEDERATIONEN"
"PlaqueOneInner","Ministry of Admission","Tillträdesministeriet"
"PlaqueOneInner","RECOGNITION","ERKÄNNANDE"
"PlaqueOneInner","FOR","FÖR"
"PlaqueOneInner","HANG ON WALL","HÄNG PÅ VÄGGEN"
"PlaqueTwoInner","Ministry of Admission","Tillträdesministeriet"
"PlaqueTwoInner","RECOGNITION","ERKÄNNANDE"
"PlaqueTwoInner","FOR","FÖR"
"PlaqueTwoInner","HANG ON WALL","HÄNG PÅ VÄGGEN"
"PoisonInnerBack","OPEN","ÖPPNA"
"PoisonInnerOpen1","DO NOT TOUCH POWDER","RÖR INTE PULVER"
"PoisonInnerOpen1","CLOSE","STÄNG"
"PoisonInnerOpen2","ALIGN POWDER OVER PASSPORT","PLACERA PULVER ÖVER PASS"
"PoisonInnerOpen2","PUSH HARD TO AFFIX","TRYCK HÅRT FÖR ATT FÄSTA"
"PoisonInnerOpen2","CLOSE","STÄNG"
"PoliceBadgeInner","MINISTRY OF INFORMATION","INFORMATIONSMINISTERIET"
"PoliceBadgeInner","Office of Investigation","Utredningskontoret"
"PoliceBadgeInner","East Grestin Division","Ö. Grestindivisionen"
"PoliceBadgeInner","Special Investigator","Specialutredare"
"PoliceBadgeInner","MOI","INM"
"PressPassInner","INTERNATIONAL","INTERNATIONELL"
"PressPassInner","PRESS","PRESS-"
"PressPassInner","IDENTIFICATION","IDENTIFIKATION"
"RuleDiploAccess","AUTHORIZATION MUST GRANT ACCESS<br> TO ARSTOTZKA","TILLSTÅND MÅSTE GE<br>TILLGÅNG TILL ARSTOTZKA"
"RuleIssuingCity","PASSPORT <span>ISS.</span> FIELD MUST BE VALID","PASSETS FÄLT <span>UTF.</span> MÅSTE VARA GILTIGT"
"RuleSealRequired","DOCUMENT MUST<br>HAVE A SEAL","DOKUMENT MÅSTE<br>HA ETT SIGILL"
"RulesInnerHome","Arstotzkan","Arstotzkan"
"RulesInnerHome","Ministry<span>of</span>Admission","Tillträdes-<br>ministeriet"
"RulesInnerHome","RULES","REGLER"
"RulesInnerHome","&amp;","&amp;"
"RulesInnerHome","REGULATIONS","REGULATIONER"
"RulesInnerHome","for Inspectors","för inspektörer"
"RulesInnerHome","CONTENTS","INNEHÅLL"
"RulesInnerHome","PROPERTY OF","TILLHÖR"
"RulesInnerHome","M.O.A","TTM"
"RulesInnerBasic","RULES","REGLER"
"RulesInnerRegion","DIPLOMATIC SEALS","DIPLOMATISKA SIGILL"
"RulesInnerRegion","PASSPORT","PASS"
"RulesInnerRegion","ISSUING CITIES","UTFÄRDANDEORTER"
"RulesInnerRegionArstotzka","DISTRICTS","DISTRIKT"
"RulesInnerRegionArstotzka","PASSPORT","PASS"
"RulesInnerRegionArstotzka","ISSUING CITIES","UTFÄRDANDEORTER"
"RulesInnerBooth","INSPECTOR'S BOOTH","INSPEKTÖRS-<br>BÅS"
"RulesInnerBooth","Shutter","Lucka"
"RulesInnerBooth","Counter","Disk"
"RulesInnerBooth","Rule Book<br>Audio Trans.<br>Bulletin<br>Time &amp; Date","Regelverk<br>Bandutskrift<br>Bulletin<br>Tid &amp; datum"
"RulesInnerBooth","UPGRADES","UPPGRADERINGAR"
"RulesInnerBooth","NO UPGRADES<br>INSTALLED","INGA UPPGRADERINGAR<br>INSTALLERADE"
"RulesInnerDocs","OFFICIALLY RECOGNIZED","OFFICIELLT ERKÄNDA"
"RulesInnerDocs","DOCUMENTS","DOKUMENT"
"RulesInnerDocs","CONTENTS","INNEHÅLL"
"RulesInnerEntryPermit","ENTRY PERMIT","INTRÄDES-TILLSTÅND"
"RulesInnerEntryPermit","VALID SEALS","GILTIGA SIGILL"
"RulesInnerIdCard","ARSTOTZKAN<br>ID CARD","ARSTOTZKANSKT<br>ID-KORT"
"RulesInnerIdCard","ISSUED TO ALL ARSTOTZKAN CITIZENS","UTFÄRDAS TILL ALLA ARSTOTZKANSKA INVÅNARE"
"RulesInnerIdCard","DISTRICTS","DISTRIKT"
"RulesInnerIdSupplement","IDENTITY<br>SUPPLEMENT","IDENTITETS-<br>TILLÄGG"
"RulesInnerIdSupplement","ISSUED TO ALL QUALIFIED FOREIGNERS","UTFÄRDAS TILL ALLA BEHÖRIGA UTLÄNNINGAR"
"RulesInnerIdSupplement","FOR VERIFICATION OF FOREIGNER'S PHYSICAL APPEARANCE","FÖR VERIFIKATION AV UTLÄNNINGARS UTSEENDE"
"RulesInnerIdSupplement","VERIFY THUMBPRINT ONLY WHEN FINGERPRINT RECORD IS AVAILABLE","VERIFIERA TUMAVTRYCK ENDAST NÄR FINGER-AVTRYCKSUTDRAG FINNS TILLGÄNGLIGT"
"RulesInnerIdSupplement","THIS IS A SHORT-ISSUE DOCUMENT - VERIFY EXPIRATION CAREFULLY","DETTA ÄR ETT KORT-UTFÄRDAT DOKUMENT VERIFIERA UTGÅNGS-DATUM NOGA"
"RulesInnerAccessPermit","ACCESS PERMIT","TILLTRÄDES-TILLSTÅND"
"RulesInnerAccessPermit","VALID SEALS","GILTIGA SIGILL"
"RulesInnerAccessPermit","THIS DOCUMENT REPLACES ENTRY PERMIT AND IDENTITY SUPPLEMENT","DETTA DOKUMENT ERSÄTTER INTRÄDESTILLSTÅND OCH IDENTIFIKATIONSTILLÄGG"
"RulesInnerWorkPermit","WORK PASS","ARBETS-TILLSTÅND"
"RulesInnerWorkPermit","ISSUED TO ALL QUALIFIED FOREIGN LABOR","UTFÄRDAS TILL ALLA KVALIFICERADE UTLÄNDSKA ARBETARE"
"RulesInnerWorkPermit","VALID SEALS","GILTIGA SIGILL"
"RulesInnerDiplomaticAuth","DIPLOMATIC","DIPLOMATISK"
"RulesInnerDiplomaticAuth","AUTHORIZATION","BEHÖRIGHET"
"RulesInnerDiplomaticAuth","VALIDATE SEAL WITH COUNTRY PAGE","VALIDERA SIGILL MED LANDSSIDA"
"RulesInnerAsylumGrant","GRANT OF<br>ASYLUM","BEVILJANDE<br>AV ASYL"
"RulesInnerAsylumGrant","VALID SEALS","GILTIGA SIGILL"
"RulesInnerAsylumGrant","ALWAYS VERIFY FINGERPRINTS","VERIFIERA ALLTID FINGERAVTRYCK"
"RulesInnerVaccineCert","VACCINE CERTIFICATE","VACCINERINGS-CERTIFIKAT"
"RulesInnerVaccineCert","MINISTRY","HÄLSO"
"RulesInnerVaccineCert","OF","-"
"RulesInnerVaccineCert","HEALTH","MINISTERIET"
"RulesInnerVaccineCert","REGULATION DOCUMENT","FÖRORDNINGSDOKUMENT"
"RulesInnerVaccineCert","POLIO VACCINATION REQUIRED FOR ALL ENTRANTS","POLIOVACCINATION KRÄVS FÖR ALLA SÖKANDE"
"RulesInnerVaccineCert","NO EXCEPTIONS","INGA UNDANTAG"
"RulesInnerConfiscation","PASSPORT CONFISCATION","PASS-KONFISKERING"
"RulesInnerConfiscation","DROP PASSPORT IN CONFISCATION DRAWER","SLÄPP PASS I KONFISKERINGSLÅDAN"
"RulesInnerConfiscation","POLICY","POLICY"
"RulesInnerConfiscation","PASSPORT MUST BE CONFISCATED BEFORE DETAINING","PASS MÅSTE KONFISKERAS INNAN KVARHÅLLNING"
"RulesInnerConfiscation","MOI","INM"
"RulesInnerLast","PROPERTY OF","TILLHÖR"
"RulesInnerLast","M.O.A.","TTM"
"RulesInnerLast","GLORY TO ARSTOTZKA","ÄRA ÅT ARSTOTZKA"
"RulesInnerLast","Arstotzkan","Arstotzkanska"
"RulesInnerLast","Ministry of Admission","Tillträdesministeriet"
"RulesInnerLast","Rules &amp; Regulations","Regler &amp; Regulationer"
"RulesInnerLast","for Inspectors","för inspektörer"
"RulesInnerLast","1982-1983 Edition","Utgåva 1982-1983"
"RulesInnerLast","DO NOT DISTRIBUTE UNDER SEVERE<br>PENALTY","DISTRUBERA INTE<br>STRÄNGA PÅFÖLJDER"
"RulesTabConfL","CONF.","KONF."
"RulesTabConfR","CONF.","KONF."
"RulesTabDocsL","DOCS","DOK."
"RulesTabDocsR","DOCS","DOK."
"RulesTabMapL","MAP","KARTA"
"RulesTabMapR","MAP","KARTA"
"RulesTabRulesL","RULES","REGLER"
"RulesTabRulesR","RULES","REGLER"
"RulesUpgrade0","TOGGLE INSPECT","INSPEKTERA PÅ/AV"
"RulesUpgrade0","SPACE","SPACE"
"RulesUpgrade1","TOGGLE STAMP BAR","STÄMPEL PÅ/AV"
"RulesUpgrade1","TAB","TABB"
"RulesUpgrade2","RULEBOOK SHORTCUTS","GENVÄG TILL REGELVERK"
"RulesUpgrade3","QUICK INSPECT","SNABBINSPEKTERA"
"RulesUpgrade3","DOUBLE-CLICK","DUBBELKLICKA"
"SeizureSlipInner","Arstotzka Ministry of Admission","Arstotzkanska Tillträdesministeriet"
"SeizureSlipInner","PASSPORT SEIZURE SLIP","PASSBESLAGSEDEL"
"SeizureSlipInner","ENTRY VISA","INTRÄDESVISUM"
"SeizureSlipInner","Your passport has been seized.","Ditt pass har beslagtagits."
"SeizureSlipInner","Contact 1509-6103 for redress.","Kontakta 1509-6103 för rättelse."
"SpyDocsInnerBack","Mating Habits of Lesser Kolechian Waterfowl","Den mindre Kolechianska sjöfågelns parningsbeteende"
"SpyDocsInnerBack","A FULL REPORT","EN FULLSTÄNDIG RAPPORT"
"SpyDocsInnerBack","Ministry of Information","Informationministeriet"
"TranscriptInner","AUDIO TRANSCRIPT","BANDUTSKRIFT"
"VaccineCertInner","Certificate<span>of</span>Vaccination","<span style=""margin-bottom:3px;margin-top:4px;font-size:12px;font-family:title_tall"">Vaccinations-<br></span>certifikat"
"VaccineCertInner","ID#","ID#"
"VaccineCertInner","DATE","DATUM"
"VaccineCertInner","VACCINE","VACCIN"
"VaccineCertInner","Vax valid for 3 years","Vaccinering giltig i 3 år"
"VisaSlipInner","TEMPORARY VISA SLIP","TEMPORÄR VISUMSEDEL"
"VisaSlipInner","ENTRY VISA","INTRÄDESVISUM"
"VisaSlipInner","TO BE USED FOR DENIALS ONLY","ANVÄNDS ENBART FÖR AVSLAG"
"WorkPermitInner","Ministry of Labor","Arbetsministeriet"
"WorkPermitInner","Work Pass","Arbetstillstånd"
"WorkPermitInner","This pass grants its holder the right to work in a specific field for a limited time.","Detta tillstånd ger dess innehavare rätten att arbeta inom ett specifikt område under en begränsad tid."
"WorkPermitInner","HOLDER","INNEH."
"WorkPermitInner","FIELD","OMRÅDE"
"WorkPermitInner","UNTIL","TILLS"
"WorkPermitInner","Keep this pass with you at all times.","Ha detta tillstånd alltid med dig."
"EndNews","Kolechian Consensus Reached Over Grestin","Samförstånd över Grestin uppnått<br>med Kolechia"
"ApartmentClass","CLASS","KLASS"
"DetainButton","DETAIN","KVARHÅLL"
"FingerprintButton","FINGERPRINT","FINGERAVT."
"SearchButton","SEARCH","VISITERA"
"EmblemsMOA","M.O.A","TTM"
"EmblemsMOA","M.O.L","ARM"
"EmblemsMOL","M.O.L","ARM"
"Filer","CONFISCATED DOCUMENTS","KONFISKERADE DOKUMENT"
"Filer","PROPERTY OF","TILLHÖR"
"Filer","M.O.A.","TTM"
"GiveIcon","GIVE","GE"
"LoadButtonNew","NEW","NYTT"
"LoadDay","DAY","DAG"
"LoadDrag","DRAG TO SCROLL","DRA FÖR ATT SKROLLA"
"News","The Truth of Arstotzka","Sanningens Arstotzka"
"News","No Charge","Kostnadsfri"
"ReasonButton","REASON","ORSAK"
"RifleKill","KILL","DÖDA"
"RifleTranq","TRANQ","BEDÖVA"
"StampBarMid","ALIGN VISA BENEATH STAMP","PLACERA VISUM UNDER STÄMPELN"
"Upgrades","SPACE","SPACE"
"Upgrades","TAB","TAB."
"image:ArskickersInner.png","capture/ArskickersInner.png","http://i.imgur.com/UED6oTX.png?1"
"ArskickersInner","HANG ON WALL","HÄNG PÅ VÄGGEN"
"image:BrothelFlyerInner.png","capture/BrothelFlyerInner.png","capture/BrothelFlyerInner.png"
"BrothelFlyerInner","East Grestin","Östra Grestin"
"BrothelFlyerInner","FOR ALL YOUR FANTASIES","FÖR ALLA DINA FANTASIER"
"image:PezpertInner.png","capture/PezpertInner.png","http://i.imgur.com/caR1UyF.png?1"
"PezpertInner","STAMP HERE","STÄMPEL HÄR"
"image:SonDrawingInner.png","capture/SonDrawingInner.png","http://i.imgur.com/hyfugnC.png"
"SonDrawingInner","hanG on wAll","häng pÅ vÄGeN"
"image:SonDrawingOuter.png","capture/SonDrawingOuter.png","http://i.imgur.com/uEHL22W.png"
"image:SonDrawingMount.png","capture/SonDrawingMount.png","http://i.imgur.com/mc7czDh.png"
"image:VictimPhotoInnerBack.png","capture/VictimPhotoInnerBack.png","http://i.imgur.com/Wrb4yfP.png"
"image:Emotions.png","export/Emotions.png","http://i.imgur.com/wrcSiI8.png"
"image:LoadButtonLatest.png","export/LoadButtonLatest.png","http://i.imgur.com/5mdlsmJ.png"
"image:InkApproved.png","export/InkApproved.png","http://i.imgur.com/L2e6uJs.png"
"image:InkDenied.png","export/InkDenied.png","http://i.imgur.com/QMI54hH.png"
"image:StampBotApproved.png","export/StampBotApproved.png","http://i.imgur.com/5vEJlV0.png"
"image:StampBotDenied.png","export/StampBotDenied.png","http://i.imgur.com/YsWkC6d.png"
"image:ReasonStampTop.png","export/ReasonStampTop.png","http://i.imgur.com/qULOaaS.png"
"image:InkReason.png","export/InkReason.png","http://i.imgur.com/QTRrYrq.png"
"image:Arstotzka.png","export/Arstotzka.png","export/Arstotzka.png"
"image:Intro1.png","export/Intro1.png","http://i.imgur.com/y8u0kau.png"
"image:Obrinspector.png","export/Obrinspector.png","http://i.imgur.com/eupD1ZT.png"
"image:Shutter.png","export/Shutter.png","http://i.imgur.com/aS7frhm.png"
"news:RANDOM_WEATHER","The Weather","Vädret"
"news:RANDOM_SPORTS","Sports","Sport"
"news:RANDOM_ENTERTAINMENT","Entertainment","Nöje"
"news:RANDOM_POLITICS","Politics","Politik"
"news:FIRST_DAY","Grestin Border Checkpoint Opens At Last!","Grestins gränskontroll öppnar äntligen!"
"news:FIRST_DAY","After 6 Long Years. Can the Ministry of Admission Keep Us Safe?","Efter 6 långa år. Kan Tillträdesministeriet hålla oss säkra?"
"news:FIRST_DAY","Families To Reunite","Familjer återförenas"
"news:CHECKPOINT_SUCCESS","Grestin Checkpoint a Success!","Grestins gränskontroll en succé!"
"news:CHECKPOINT_SUCCESS","Entry Restrictions To Relax, Admit Foreigners","Inträdesbegränsningar mildras, antar utlänningar"
"news:CHECKPOINT_SUCCESS","Analysts Upbeat","Analytiker optimistiska"
"news:CHECKPOINT_SUCCESS","Increased Trade And Cooperation Predicted","Ökad handel och samarbete förväntas"
"news:FIRST_TERRORISTS","Terrorists Strike At Grestin!","Terrorister slår till vid Grestin!"
"news:FIRST_TERRORISTS","Kolechian Agitators Suspected.","Kolechianska uppviglare misstänkta."
"news:FIRST_TERRORISTS","Checkpoint Lockdown","Gränskontroll skärps"
"news:FIRST_TERRORISTS","More Guards - More Scrutiny","Fler vakter - mer granskning"
"news:BLACKMARKET_EXPLODES","Blackmarket Activity Explodes","Aktivitet på svarta marknaden exploderar"
"news:BLACKMARKET_EXPLODES","Government Blames Lax Immigration Controls","Staten skyller på slappa invandringskontroller"
"news:BLACKMARKET_EXPLODES","Checkpoint Expansion Postponed","Utbyggnad av gränskontroller uppskjutet"
"news:WORKPERMIT_FIRST","Jobs Few, Becoming Fewer","Fåtal jobb, blir färre"
